Airport Code,City
ABR,"Aberdeen, SD"
ABI,"Abilene, TX"
ADK,"Adak Island, AK"
CAK,"Akron, OH"
ALB,"Albany, NY"
ABQ,"Albuquerque, NM"
AEX,"Alexandria, LA"
ABE,"Easton, PA"
APN,"Alpena, MI"
AMA,"Amarillo, TX"
ANC,"Anchorage, AK"
ATW,"Appleton, WI"
ACV,"Arcata, CA"
AVL,"Asheville, NC"
HTS,"Huntington, WV"
ASE,"Aspen, CO"
ATL,"Atlanta, GA"
AGS,"Augusta, GA"
AUS,"Austin, TX"
BFL,"Bakersfield, CA"
BWI,"Baltimore, MD"
BGR,"Bangor, ME"
BRW,"Barrow, AK"
BTR,"Baton Rouge, LA"
MBS,"Saginaw, MI"
BPT,"Beaumont, TX"
BLV,"Belleville, IL"
BLI,"Bellingham, WA"
BJI,"Bemidji, MN"
BET,"Bethel, AK"
BIL,"Billings, MT"
GPT,"Gulfport, MS"
BGM,"Johnson City, NY"
BHM,"Birmingham, AL"
BIS,"Bismarck, ND"
BMI,"Bloomington, IL"
BOI,"Boise, ID"
BOS,"Boston, MA"
BZN,"Bozeman, MT"
BRD,"Brainerd, MN"
TRI,"Bristol, TN"
BRO,"Brownsville, TX"
BQK,"Brunswick, GA"
BUF,"Buffalo, NY"
BUR,"Burbank, CA"
BTV,"Burlington, VT"
BTM,"Butte, MT"
CGI,"Cape Girardeau, MO"
MRY,"Monterey, CA"
CPR,"Casper, WY"
CDC,"Cedar City, UT"
CID,"Cedar Rapids, IA"
CMI,"Champaign, IL"
CHS,"Charleston, SC"
CRW,"Charleston, WV"
CLT,"Charlotte, NC"
CHO,"Charlottesville, VA"
CHA,"Chattanooga, TN"
CYS,"Cheyenne, WY"
MDW,"Chicago, IL"
ORD,"Chicago, IL"
HIB,"Hibbing, MN"
CVG,"Cincinnati, OH"
CKB,"Clarksburg, WV"
PIE,"St Petersburg, FL"
CLE,"Cleveland, OH"
COD,"Yellowstone, WY"
CLL,"College Station, TX"
COS,"Colorado Springs, CO"
COU,"Columbia, MO"
CAE,"Columbia, SC"
CSG,"Columbus, GA"
GTR,"Columbus, MS"
CMH,"Columbus, OH"
CDV,"Cordova, AK"
CRP,"Corpus Christi, TX"
DFW,"Fort Worth, TX"
DAY,"Dayton, OH"
DAB,"Daytona Beach, FL"
DEN,"Denver, CO"
DSM,"Des Moines, IA"
DTW,"Detroit, MI"
DVL,"Devil's Lake, ND"
DHN,"Dothan, AL"
DBQ,"Dubuque, IA"
DLH,"Duluth, MN"
DRO,"Durango, CO"
RDU,"Durham, NC"
EAU,"Eau Claire, WI"
ELP,"El Paso, TX"
EKO,"Elko, NV"
ELM,"Elmira, NY"
ERI,"Erie, PA"
ESC,"Escanaba, MI"
EUG,"Eugene, OR"
EVV,"Evansville, IN"
FAI,"Fairbanks, AK"
FAR,"Fargo, ND"
XNA,"Fayetteville, AR"
FAY,"Fayetteville, NC"
FLG,"Flagstaff, AZ"
FNT,"Flint, MI"
FLL,"Fort Lauderdale, FL"
RSW,"Fort Myers, FL"
FSM,"Fort Smith, AR"
VPS,"Valparaiso, FL"
FWA,"Fort Wayne, IN"
FAT,"Fresno, CA"
GNV,"Gainesville, FL"
GCK,"Garden City, KS"
GCC,"Gillette, WY"
GGG,"Longview, TX"
GFK,"Grand Forks, ND"
GRI,"Grand Island, NE"
GJT,"Grand Junction, CO"
GRR,"Grand Rapids, MI"
GTF,"Great Falls, MT"
GRB,"Green Bay, WI"
GSO,"Greensboro, NC"
GSP,"Greer, SC"
GUC,"Gunnison, CO"
HGR,"Hagerstown, MD"
SUN,"Sun Valley, ID"
PHF,"Newport News, VA"
CMX,"Hancock, MI"
HRL,"Harlingen, TX"
MDT,"Harrisburg, PA"
BDL,"Windsor Locks, CT"
HDN,"Hayden, CO"
HYS,"Hays, KS"
HLN,"Helena, MT"
ITO,"Hilo, HI"
HHH,"Hilton Head, SC"
HNL,"Honolulu, HI"
HOU,"Houston, TX"
IAH,"Houston, TX"
HSV,"Huntsville, AL"
IDA,"Idaho Falls, ID"
IND,"Indianapolis, IN"
INL,"International Falls, MN"
IMT,"Iron Mountain, MI"
ISP,"Islip, NY"
ITH,"Ithaca, NY"
JAC,"Jackson Hole, WY"
JAN,"Jackson, MS"
JAX,"Jacksonville, FL"
OAJ,"Jacksonville, NC"
JMS,"Jamestown, ND"
JLN,"Joplin, MO"
JNU,"Juneau, AK"
OGG,"Kahului - Maui, HI"
AZO,"Kalamazoo, MI"
MCI,"Kansas City, MO"
LIH,"Kauai, HI"
EAR,"Kearney, NE"
KTN,"Ketchikan, AK"
EYW,"Key West, FL"
TYS,"Knoxville, TN"
ADQ,"Kodiak, AK"
KOA,"Kona, HI"
OTZ,"Kotzebue, AK"
LSE,"La Crosse, WI"
LFT,"Lafayette, LA"
LCH,"Lake Charles, LA"
LAN,"Lansing, MI"
LAR,"Laramie, WY"
LRD,"Laredo, TX"
LAS,"Las Vegas, NV"
LBE,"Latrobe, PA"
PIB,"Laurel, MS"
LAW,"Lawton, OK"
LWB,"Lewisburg, WV"
LWS,"Lewiston, ID"
LEX,"Lexington, KY"
LBL,"Liberal, KS"
LNK,"Lincoln, NE"
LIT,"Little Rock, AR"
LGB,"Long Beach, CA"
LAX,"Los Angeles, CA"
SDF,"Louisville, KY"
LBB,"Lubbock, TX"
MSN,"Madison, WI"
MHT,"Manchester, NH"
